variant_card_id,base_card_id,card_name,set_id,variant_local_id,current_illustrator,base_illustrator,artwork_distinct_from_base,verified_variant_illustrator,verdict,current_wrong_illustrator,verified_correct_illustrator,primary_source,secondary_source,evidence_notes,confidence,checked_at
xy4-65a,xy4-65,Aegislash EX,xy4,65a,Ayaka Yoshida,Ayaka Yoshida,YES,Ryo Ueda,CONFIRMED_WRONG,Ayaka Yoshida,Ryo Ueda,https://bulbapedia.bulbagarden.net/wiki/Aegislash-EX_(Phantom_Forces_65),https://pkmncards.com/card/aegislash-ex-phantom-forces-phf-65a/,"Bulbapedia release info: regular 65/119 = Ayaka Yoshida; the Yellow A Alternate 65a/119 Full Art is explicitly new artwork by Ryo Ueda (Premium Trainer's XY Collection, 2017-10-20).",HIGH,2026-08-20
xy6-77a,xy6-77,Shaymin EX,xy6,77a,Ayaka Yoshida,Ayaka Yoshida,YES,TOKIYA,CONFIRMED_WRONG,Ayaka Yoshida,TOKIYA,https://bulbapedia.bulbagarden.net/wiki/Shaymin-EX_(Roaring_Skies_77),https://pkmncards.com/card/shaymin-ex-roaring-skies-ros-77a/,Bulbapedia release info: regular 77/108 = Ayaka Yoshida; ROS Full Art 106/108 = Ryo Ueda; The Best of XY Full Art 188/171 = TOKIYA (depicts Mega Rayquaza alongside Shaymin) and that is the print released as Yellow A Alternate 77a/108.,HIGH,2026-08-20
xy6-92a,xy6-92,Trainers' Mail,xy6,92a,Toyste Beach,Toyste Beach,YES,Toyste Beach,CONFIRMED_CORRECT,,,https://bulbapedia.bulbagarden.net/wiki/Trainers%27_Mail_(Roaring_Skies_92),https://pkmncards.com/card/trainers-mail-roaring-skies-ros-92a/,"Bulbapedia: Yellow A Alternate 92a/108 is a new print with different artwork by the same artist (Battle Arena Decks). Distinct artwork, illustrator genuinely Toyste Beach. TCGdex xya-92a agrees.",HIGH,2026-08-20
xy7-75a,xy7-75,Hex Maniac,xy7,75a,Yusuke Ohmura,Yusuke Ohmura,YES,You Iribi,CONFIRMED_WRONG,Yusuke Ohmura,You Iribi,https://bulbapedia.bulbagarden.net/wiki/Hex_Maniac_(Ancient_Origins_75),https://pkmncards.com/card/hex-maniac-ancient-origins-aor-75a/,"Bulbapedia release info: regular 75/98 = Yusuke Ohmura; The Best of XY Full Art 181/171 = You Iribi, reprinted in English as Yellow A Alternate 75a/98 (Premium Trainer's XY Collection, 2017-10-20).",HIGH,2026-08-20
xy9-107a,xy9-107,Professor Sycamore,xy9,107a,Yusuke Ohmura,Yusuke Ohmura,YES,Naoki Saito,CONFIRMED_WRONG,Yusuke Ohmura,Naoki Saito,https://bulbapedia.bulbagarden.net/wiki/Professor_Sycamore_(XY_122),https://pkmncards.com/card/professor-sycamore-breakpoint-bkp-107a/,"Bulbapedia release info: BREAKpoint 107/122 = Yusuke Ohmura; the 107a Yellow A Alternate variant is credited to Naoki Saito. TCGdex's own xya-107a record independently reads Naoki Saito, contradicting its xy9-107a record.",HIGH,2026-08-20
xy9-98b,xy9-98,Delinquent,xy9,98b,Yusuke Ohmura,Yusuke Ohmura,YES,Sanosuke Sakuma,CONFIRMED_WRONG,Yusuke Ohmura,Sanosuke Sakuma,https://bulbapedia.bulbagarden.net/wiki/Delinquent_(BREAKpoint_98),https://pkmncards.com/card/delinquent-breakpoint-bkp-98b/,Bulbapedia distinguishes all three prints: 98 = Yusuke Ohmura; 98a (Battle Arena Decks) = Megumi Mizutani; 98b (Premium Trainer's XY Collection) = Sanosuke Sakuma. This also independently validates ATTR-0's R2 classification of xy9-98a.,HIGH,2026-08-20
xyp-XY150a,xyp-XY150,Yveltal EX,xyp,XY150a,Eske Yoshinob,Eske Yoshinob,YES,Hasuno,CONFIRMED_WRONG,Eske Yoshinob,Hasuno,https://bulbapedia.bulbagarden.net/wiki/Yveltal-EX_(XY_79),https://pkmncards.com/card/yveltal-ex-xy-promos-xyp-xy150a/,"Bulbapedia release info: XY150 (Shiny Kalos Tins) = Eske Yoshinob; XY150a Yellow A Alternate Full Art = Hasuno, depicting Xerneas alongside Yveltal (Premium Trainer's XY Collection, 2017-10-20).",HIGH,2026-08-20
xyp-XY177a,xyp-XY177,Karen,xyp,XY177a,You Iribi,You Iribi,YES,Hitoshi Ariga,CONFIRMED_WRONG,You Iribi,Hitoshi Ariga,https://bulbapedia.bulbagarden.net/wiki/Karen_(XY_Promo_177),https://pkmncards.com/card/karen-xy-promos-xyp-xy177a/,"Bulbapedia release info: XY177 regular = You Iribi; XY177a Full Art (The Best of XY 183/171) = Hitoshi Ariga, released in English as a Yellow A Alternate card.",HIGH,2026-08-20
xyp-XY198a,xyp-XY198,M Camerupt-EX,xyp,XY198a,5ban Graphics,5ban Graphics,YES,5ban Graphics,CONFIRMED_CORRECT,,,https://bulbapedia.bulbagarden.net/wiki/M_Camerupt-EX_(XY_Promo_198),https://pkmncards.com/card/m-camerupt-ex-xy-promos-xyp-xy198a/,"Bulbapedia: both XY198 and the XY198a Full Art (The Best of XY, then Premium Trainer's XY Collection) credit 5ban Graphics.",HIGH,2026-08-20
xyp-XY200a,xyp-XY200,M Sharpedo-EX,xyp,XY200a,5ban Graphics,5ban Graphics,YES,5ban Graphics,CONFIRMED_CORRECT,,,https://bulbapedia.bulbagarden.net/wiki/M_Sharpedo-EX_(XY_Promo_200),https://pkmncards.com/card/m-sharpedo-ex-xy-promos-xyp-xy200a/,"Bulbapedia: both XY200 and the XY200a Full Art (The Best of XY, then Premium Trainer's XY Collection) credit 5ban Graphics.",HIGH,2026-08-20
